date,description,category,amount,type
04-02-2023,Investments Purchase,Investments,-14348.02,Need
13-10-2023,Health Purchase,Health,-5762.39,Need
11-10-2023,Health Purchase,Health,-14351.13,Need
19-12-2023,Bills Purchase,Bills,-8463.37,Need
17-01-2023,Food Purchase,Food,-5475.87,Need
12-04-2023,Food Purchase,Food,-1083.77,Need
18-11-2023,Bills Purchase,Bills,-6169.6,Need
06-10-2023,Investments Purchase,Investments,-5903.07,Need
25-11-2023,Subscriptions Purchase,Subscriptions,-5971.27,Need
23-02-2023,Shopping Purchase,Shopping,-14735.82,Want
30-06-2023,Bills Purchase,Bills,-4295.14,Need
20-02-2023,Shopping Purchase,Shopping,-5832.04,Want
10-06-2023,Food Purchase,Food,-9107.27,Need
06-11-2023,Food Purchase,Food,-4694.98,Need
22-05-2023,Investments Purchase,Investments,-2369.54,Need
08-12-2023,Shopping Purchase,Shopping,-12699.47,Want
28-05-2023,Social Purchase,Social,-10091.58,Want
14-01-2023,Investments Purchase,Investments,-8258.13,Need
14-03-2023,Health Purchase,Health,-8092.64,Need
07-03-2023,Health Purchase,Health,-6796.08,Need
16-07-2023,Bills Purchase,Bills,-14486.62,Need
16-01-2023,Shopping Purchase,Shopping,-3812.85,Want
30-11-2023,Bills Purchase,Bills,-13255.86,Need
04-05-2023,Travel Purchase,Travel,-14838.0,Need
06-03-2023,Investments Purchase,Investments,-11983.87,Need
01-07-2023,Food Purchase,Food,-2369.96,Need
26-11-2023,Shopping Purchase,Shopping,-5651.54,Want
02-10-2023,Monthly Salary,Income,72632.0,Fixed
03-02-2023,Bills Purchase,Bills,-3633.51,Need
08-01-2023,Investments Purchase,Investments,-9826.79,Need
23-08-2023,Investments Purchase,Investments,-10914.39,Need
21-04-2023,Travel Purchase,Travel,-9303.51,Need
21-03-2023,Social Purchase,Social,-6755.6,Want
06-03-2023,Social Purchase,Social,-13793.07,Want
09-10-2023,Investments Purchase,Investments,-12597.76,Need
11-01-2023,Travel Purchase,Travel,-10973.67,Need
17-01-2023,Health Purchase,Health,-9565.41,Need
18-12-2023,Health Purchase,Health,-6205.07,Need
10-07-2023,Shopping Purchase,Shopping,-7724.78,Want
11-03-2023,Health Purchase,Health,-5554.96,Need
18-03-2023,Food Purchase,Food,-962.65,Need
18-06-2023,Food Purchase,Food,-5906.98,Need
13-04-2023,Food Purchase,Food,-14363.82,Need
16-05-2023,Bills Purchase,Bills,-4183.89,Need
10-02-2023,Investments Purchase,Investments,-6480.64,Need
14-05-2023,Social Purchase,Social,-4898.16,Want
01-01-2023,Food Purchase,Food,-11669.97,Need
16-01-2023,Travel Purchase,Travel,-3860.96,Need
12-12-2023,Shopping Purchase,Shopping,-10826.23,Want
10-01-2023,Bills Purchase,Bills,-12992.96,Need
03-06-2023,Health Purchase,Health,-6204.56,Need
25-07-2023,Bills Purchase,Bills,-4344.52,Need
26-03-2023,Bills Purchase,Bills,-8430.7,Need
26-08-2023,Health Purchase,Health,-12670.77,Need
19-11-2023,Health Purchase,Health,-9658.36,Need
17-06-2023,Food Purchase,Food,-10515.75,Need
25-01-2023,Investments Purchase,Investments,-8543.74,Need
28-10-2023,Monthly Salary,Income,80049.0,Fixed
28-08-2023,Health Purchase,Health,-2206.87,Need
19-12-2023,Investments Purchase,Investments,-5287.72,Need
05-08-2023,Investments Purchase,Investments,-5263.21,Need
21-04-2023,Travel Purchase,Travel,-1797.66,Need
18-11-2023,Travel Purchase,Travel,-12023.67,Need
17-07-2023,Bills Purchase,Bills,-4044.9,Need
28-07-2023,Social Purchase,Social,-3836.14,Want
11-02-2023,Bills Purchase,Bills,-11008.95,Need
14-02-2023,Food Purchase,Food,-6006.48,Need
15-05-2023,Investments Purchase,Investments,-7831.87,Need
04-04-2023,Food Purchase,Food,-14891.17,Need
08-08-2023,Food Purchase,Food,-9839.01,Need
13-06-2023,Health Purchase,Health,-14431.73,Need
15-11-2023,Shopping Purchase,Shopping,-7477.61,Want
11-07-2023,Food Purchase,Food,-2469.25,Need
05-09-2023,Social Purchase,Social,-7229.18,Want
21-08-2023,Food Purchase,Food,-7564.25,Need
02-11-2023,Health Purchase,Health,-6976.96,Need
26-08-2023,Travel Purchase,Travel,-7516.48,Need
12-12-2023,Investments Purchase,Investments,-2258.92,Need
08-09-2023,Bills Purchase,Bills,-6821.56,Need
10-06-2023,Subscriptions Purchase,Subscriptions,-11072.0,Need
06-03-2023,Shopping Purchase,Shopping,-2265.13,Want
08-10-2023,Investments Purchase,Investments,-8344.43,Need
01-01-2023,Bills Purchase,Bills,-9036.74,Need
07-04-2023,Bills Purchase,Bills,-3700.12,Need
10-05-2023,Bills Purchase,Bills,-10726.29,Need
31-01-2023,Social Purchase,Social,-11621.47,Want
20-01-2023,Bills Purchase,Bills,-14122.9,Need
16-04-2023,Monthly Salary,Income,83982.0,Fixed
22-09-2023,Travel Purchase,Travel,-3166.6,Need
16-05-2023,Investments Purchase,Investments,-12515.67,Need
27-06-2023,Shopping Purchase,Shopping,-5395.93,Want
30-05-2023,Bills Purchase,Bills,-7052.0,Need
27-03-2023,Food Purchase,Food,-1096.21,Need
20-04-2023,Travel Purchase,Travel,-6299.05,Need
25-05-2023,Travel Purchase,Travel,-12648.31,Need
24-06-2023,Bills Purchase,Bills,-10309.17,Need
21-06-2023,Food Purchase,Food,-11914.85,Need
03-09-2023,Food Purchase,Food,-711.2,Need
15-01-2023,Health Purchase,Health,-9270.34,Need
19-06-2023,Bills Purchase,Bills,-14050.37,Need
06-08-2023,Travel Purchase,Travel,-13893.0,Need
20-12-2023,Shopping Purchase,Shopping,-10718.67,Want
31-03-2023,Investments Purchase,Investments,-5798.06,Need
23-06-2023,Food Purchase,Food,-14413.47,Need
16-05-2023,Investments Purchase,Investments,-9244.18,Need
29-04-2023,Food Purchase,Food,-12610.09,Need
03-10-2023,Bills Purchase,Bills,-10189.67,Need
06-02-2023,Travel Purchase,Travel,-10372.37,Need
27-02-2023,Health Purchase,Health,-12999.95,Need
24-04-2023,Shopping Purchase,Shopping,-1278.81,Want
09-03-2023,Food Purchase,Food,-12143.51,Need
23-07-2023,Bills Purchase,Bills,-9940.42,Need
24-06-2023,Health Purchase,Health,-5967.14,Need
12-09-2023,Travel Purchase,Travel,-3092.46,Need
30-12-2023,Food Purchase,Food,-13197.16,Need
12-01-2023,Food Purchase,Food,-2751.03,Need
06-06-2023,Social Purchase,Social,-7304.99,Want
31-01-2023,Monthly Salary,Income,78971.0,Fixed
28-05-2023,Food Purchase,Food,-8885.51,Need
07-05-2023,Health Purchase,Health,-3967.43,Need
08-05-2023,Health Purchase,Health,-14027.7,Need
03-11-2023,Bills Purchase,Bills,-8617.35,Need
01-01-2023,Food Purchase,Food,-10444.52,Need
12-06-2023,Investments Purchase,Investments,-5717.64,Need
12-11-2023,Subscriptions Purchase,Subscriptions,-13182.86,Need
30-04-2023,Health Purchase,Health,-6707.64,Need
18-09-2023,Investments Purchase,Investments,-6536.81,Need
11-04-2023,Investments Purchase,Investments,-3787.41,Need
25-05-2023,Investments Purchase,Investments,-10865.76,Need
24-06-2023,Social Purchase,Social,-11881.12,Want
16-04-2023,Bills Purchase,Bills,-10700.19,Need
20-01-2023,Bills Purchase,Bills,-14843.14,Need
20-05-2023,Shopping Purchase,Shopping,-6841.83,Want
06-02-2023,Bills Purchase,Bills,-727.77,Need
14-02-2023,Bills Purchase,Bills,-1498.48,Need
10-01-2023,Travel Purchase,Travel,-13847.75,Need
10-07-2023,Travel Purchase,Travel,-3024.79,Need
17-07-2023,Food Purchase,Food,-6711.13,Need
29-08-2023,Bills Purchase,Bills,-7215.23,Need
09-02-2023,Investments Purchase,Investments,-10490.42,Need
04-12-2023,Subscriptions Purchase,Subscriptions,-9182.09,Need
23-11-2023,Health Purchase,Health,-3407.55,Need
21-09-2023,Food Purchase,Food,-11357.71,Need
01-05-2023,Food Purchase,Food,-2105.39,Need
11-10-2023,Investments Purchase,Investments,-3564.86,Need
18-01-2023,Bills Purchase,Bills,-12148.41,Need
04-04-2023,Health Purchase,Health,-2983.16,Need
07-08-2023,Monthly Salary,Income,75073.0,Fixed
29-10-2023,Shopping Purchase,Shopping,-12908.66,Want
11-02-2023,Travel Purchase,Travel,-3528.65,Need
22-09-2023,Travel Purchase,Travel,-8268.11,Need
13-12-2023,Food Purchase,Food,-10335.83,Need
21-08-2023,Food Purchase,Food,-11289.2,Need
10-05-2023,Investments Purchase,Investments,-2383.68,Need
26-08-2023,Investments Purchase,Investments,-14040.5,Need
02-09-2023,Travel Purchase,Travel,-11997.13,Need
08-11-2023,Shopping Purchase,Shopping,-13242.99,Want
04-02-2023,Shopping Purchase,Shopping,-9815.0,Want
29-03-2023,Food Purchase,Food,-13312.92,Need
28-09-2023,Bills Purchase,Bills,-8990.73,Need
04-12-2023,Health Purchase,Health,-737.82,Need
17-07-2023,Bills Purchase,Bills,-5738.14,Need
03-11-2023,Bills Purchase,Bills,-9204.57,Need
18-09-2023,Travel Purchase,Travel,-5738.02,Need
21-03-2023,Food Purchase,Food,-7493.91,Need
19-10-2023,Shopping Purchase,Shopping,-14372.06,Want
25-06-2023,Investments Purchase,Investments,-4016.7,Need
09-12-2023,Health Purchase,Health,-3719.36,Need
17-09-2023,Food Purchase,Food,-11107.96,Need
05-09-2023,Food Purchase,Food,-2314.86,Need
23-05-2023,Food Purchase,Food,-7160.6,Need
30-03-2023,Health Purchase,Health,-9525.39,Need
15-01-2023,Investments Purchase,Investments,-4565.91,Need
06-07-2023,Bills Purchase,Bills,-14081.4,Need
07-03-2023,Food Purchase,Food,-4446.45,Need
16-02-2023,Bills Purchase,Bills,-11537.47,Need
21-10-2023,Food Purchase,Food,-8287.95,Need
10-04-2023,Monthly Salary,Income,80228.0,Fixed
13-01-2023,Travel Purchase,Travel,-1992.9,Need
23-02-2023,Food Purchase,Food,-6791.25,Need
07-12-2023,Investments Purchase,Investments,-13829.64,Need
27-10-2023,Shopping Purchase,Shopping,-11258.02,Want
02-01-2023,Food Purchase,Food,-7097.7,Need
28-10-2023,Food Purchase,Food,-4041.68,Need
15-06-2023,Bills Purchase,Bills,-10322.7,Need
26-11-2023,Social Purchase,Social,-11957.83,Want
05-05-2023,Travel Purchase,Travel,-13500.04,Need
17-04-2023,Travel Purchase,Travel,-8710.16,Need
23-01-2023,Health Purchase,Health,-6050.5,Need
09-12-2023,Investments Purchase,Investments,-4202.5,Need
30-01-2023,Bills Purchase,Bills,-9051.4,Need
12-02-2023,Investments Purchase,Investments,-8226.55,Need
19-12-2023,Food Purchase,Food,-3534.74,Need
07-08-2023,Shopping Purchase,Shopping,-12240.34,Want
12-02-2023,Shopping Purchase,Shopping,-12509.52,Want
07-09-2023,Bills Purchase,Bills,-12494.85,Need
09-02-2023,Bills Purchase,Bills,-4081.23,Need
30-05-2023,Investments Purchase,Investments,-13020.68,Need
19-06-2023,Food Purchase,Food,-13509.39,Need
06-11-2023,Health Purchase,Health,-2976.86,Need
11-03-2023,Travel Purchase,Travel,-2555.27,Need
26-08-2023,Investments Purchase,Investments,-13291.97,Need
22-12-2023,Investments Purchase,Investments,-1593.34,Need
21-09-2023,Bills Purchase,Bills,-7616.09,Need
14-12-2023,Investments Purchase,Investments,-6912.67,Need
07-08-2023,Investments Purchase,Investments,-10280.0,Need
17-02-2023,Investments Purchase,Investments,-13019.32,Need
30-07-2023,Monthly Salary,Income,101449.0,Fixed
10-01-2023,Bills Purchase,Bills,-1597.37,Need
30-09-2023,Food Purchase,Food,-2985.33,Need
29-11-2023,Health Purchase,Health,-6052.35,Need
04-12-2023,Investments Purchase,Investments,-1421.57,Need
21-10-2023,Food Purchase,Food,-962.84,Need
12-04-2023,Investments Purchase,Investments,-6355.83,Need
10-03-2023,Bills Purchase,Bills,-5071.73,Need
14-06-2023,Bills Purchase,Bills,-5783.92,Need
07-05-2023,Investments Purchase,Investments,-7167.59,Need
16-11-2023,Travel Purchase,Travel,-13905.9,Need
13-12-2023,Travel Purchase,Travel,-14029.36,Need
15-01-2023,Bills Purchase,Bills,-14834.35,Need
26-10-2023,Investments Purchase,Investments,-8082.64,Need
12-06-2023,Investments Purchase,Investments,-4705.27,Need
19-01-2023,Shopping Purchase,Shopping,-11203.93,Want
30-08-2023,Bills Purchase,Bills,-12984.22,Need
21-11-2023,Investments Purchase,Investments,-1029.0,Need
10-12-2023,Health Purchase,Health,-7451.08,Need
24-10-2023,Food Purchase,Food,-6247.59,Need
14-04-2023,Food Purchase,Food,-1765.58,Need
29-09-2023,Bills Purchase,Bills,-2872.07,Need
01-09-2023,Health Purchase,Health,-7357.56,Need
26-02-2023,Investments Purchase,Investments,-10825.51,Need
16-11-2023,Social Purchase,Social,-1347.76,Want
28-09-2023,Bills Purchase,Bills,-3822.47,Need
26-04-2023,Health Purchase,Health,-13798.2,Need
11-03-2023,Food Purchase,Food,-808.24,Need
23-05-2023,Health Purchase,Health,-12219.85,Need
15-07-2023,Investments Purchase,Investments,-12966.95,Need
08-06-2023,Monthly Salary,Income,76308.0,Fixed
22-09-2023,Investments Purchase,Investments,-9740.23,Need
27-01-2023,Food Purchase,Food,-3788.19,Need
07-03-2023,Health Purchase,Health,-500.51,Need
19-12-2023,Bills Purchase,Bills,-7935.9,Need
25-06-2023,Investments Purchase,Investments,-11847.19,Need
14-07-2023,Travel Purchase,Travel,-12746.5,Need
28-04-2023,Travel Purchase,Travel,-1474.98,Need
23-10-2023,Travel Purchase,Travel,-9445.17,Need
14-03-2023,Travel Purchase,Travel,-12237.58,Need
07-10-2023,Investments Purchase,Investments,-1031.43,Need
19-12-2023,Shopping Purchase,Shopping,-13365.05,Want
17-03-2023,Travel Purchase,Travel,-4049.27,Need
28-01-2023,Health Purchase,Health,-8213.44,Need
11-11-2023,Shopping Purchase,Shopping,-8062.08,Want
04-06-2023,Investments Purchase,Investments,-13599.76,Need
25-08-2023,Health Purchase,Health,-11269.31,Need
04-07-2023,Food Purchase,Food,-5224.21,Need
18-09-2023,Health Purchase,Health,-12697.52,Need
06-02-2023,Health Purchase,Health,-12578.01,Need
29-10-2023,Travel Purchase,Travel,-10533.85,Need
26-06-2023,Food Purchase,Food,-8363.14,Need
18-05-2023,Shopping Purchase,Shopping,-11700.39,Want
19-11-2023,Bills Purchase,Bills,-707.89,Need
07-11-2023,Bills Purchase,Bills,-13203.07,Need
26-06-2023,Investments Purchase,Investments,-8119.42,Need
29-10-2023,Food Purchase,Food,-12445.65,Need
27-12-2023,Investments Purchase,Investments,-3366.5,Need
06-11-2023,Health Purchase,Health,-12333.98,Need
18-08-2023,Shopping Purchase,Shopping,-512.57,Want
29-10-2023,Monthly Salary,Income,73117.0,Fixed
23-06-2023,Investments Purchase,Investments,-13326.39,Need
03-06-2023,Health Purchase,Health,-1813.96,Need
08-03-2023,Food Purchase,Food,-1523.09,Need
20-10-2023,Health Purchase,Health,-12754.4,Need
03-04-2023,Health Purchase,Health,-6733.65,Need
30-03-2023,Health Purchase,Health,-8972.08,Need
02-01-2023,Health Purchase,Health,-14360.67,Need
18-08-2023,Health Purchase,Health,-5880.48,Need
02-10-2023,Health Purchase,Health,-6593.86,Need
25-10-2023,Health Purchase,Health,-10176.15,Need
24-02-2023,Health Purchase,Health,-1281.71,Need
12-02-2023,Bills Purchase,Bills,-10337.12,Need
25-01-2023,Shopping Purchase,Shopping,-10110.38,Want
04-04-2023,Health Purchase,Health,-8691.73,Need
14-02-2023,Subscriptions Purchase,Subscriptions,-10862.63,Need
08-05-2023,Health Purchase,Health,-13355.8,Need
28-07-2023,Bills Purchase,Bills,-6335.06,Need
18-08-2023,Health Purchase,Health,-7124.94,Need
14-05-2023,Health Purchase,Health,-12865.81,Need
05-11-2023,Food Purchase,Food,-3689.97,Need
07-09-2023,Food Purchase,Food,-8492.04,Need
10-07-2023,Health Purchase,Health,-11087.11,Need
14-10-2023,Investments Purchase,Investments,-10123.3,Need
16-05-2023,Investments Purchase,Investments,-4768.55,Need
